EventSID,DateSID,LocationSID,EventDesc,PackedLunchCount,EffectToMealCount
197,20180130,1,anonymized,,
198,20180131,1,anonymized,,
199,20180214,1,anonymized,,
200,20180215,1,anonymized,,
201,20180216,1,anonymized,,
202,20180220,1,anonymized,,
203,20180223,1,anonymized,,
204,20180309,1,anonymized,,
205,20180319,1,anonymized,,
206,20180327,1,anonymized,,
207,20180404,1,anonymized,,
208,20180404,1,anonymized,,TRUE
209,20180405,1,anonymized,,
210,20180405,1,anonymized,,
211,20180412,1,anonymized,,
212,20180425,1,anonymized,,
213,20180425,1,anonymized,,
214,20180426,1,anonymized,,
215,20180427,1,anonymized,,
216,20180430,1,anonymized,,TRUE
217,20180502,1,anonymized,,TRUE
218,20180502,1,anonymized,,TRUE
219,20180503,1,anonymized,,TRUE
220,20180504,1,anonymized,,TRUE
221,20180507,1,anonymized,,TRUE
222,20180508,1,anonymized,,TRUE
223,20180508,1,anonymized,,
224,20180509,1,anonymized,,TRUE
225,20180509,1,anonymized,,
226,20180511,1,anonymized,,TRUE
227,20180515,1,anonymized,,
228,20180516,1,anonymized,,
229,20180517,1,anonymized,,TRUE
230,20180517,1,anonymized,,TRUE
231,20180518,1,anonymized,,TRUE
232,20180518,1,anonymized,,TRUE
233,20180521,1,anonymized,,TRUE
234,20180522,1,anonymized,,
235,20180523,1,anonymized,,TRUE
236,20180524,1,anonymized,,TRUE
237,20180525,1,anonymized,,TRUE
238,20180528,1,anonymized,,TRUE
239,20180529,1,anonymized,,TRUE
240,20180529,1,anonymized,,
241,20180531,1,anonymized,,
242,20180601,1,anonymized,,
243,20180601,1,anonymized,,
244,20180602,1,anonymized,,
245,20180808,1,anonymized,,
246,20180809,1,anonymized,,
247,20180827,1,anonymized,,
248,20180828,1,anonymized,,
249,20180829,1,anonymized,,
250,20180830,1,anonymized,,
251,20180831,1,anonymized,,
252,20180903,1,anonymized,,
253,20180904,1,anonymized,,
254,20180905,1,anonymized,,
255,20180908,1,anonymized,,
256,20180910,1,anonymized,,TRUE
257,20180911,1,anonymized,,TRUE
258,20180911,1,anonymized,,
259,20180912,1,anonymized,,TRUE
260,20180913,1,anonymized,,TRUE
261,20180914,1,anonymized,,TRUE
